stat	value
thetaS_last_obs_p_mean	0.9989794
thetaI_last_obs_p_mean	0.0002256601
thetaR_last_obs_p_mean	0.0007949759
thetaS_last_obs_p_ci_low	0.9988506
thetaS_last_obs_p_ci_med	0.9989801
thetaS_last_obs_p_ci_up	0.9991032
thetaI_last_obs_p_ci_low	0.0001692587
thetaI_last_obs_p_ci_med	0.0002246771
thetaI_last_obs_p_ci_up	0.0002873287
thetaR_last_obs_p_ci_low	0.0006867411
thetaR_last_obs_p_ci_med	0.0007942926
thetaR_last_obs_p_ci_up	0.0009080855
R0_p_mean	1.587093
R0_p_ci_low	0.7927217
R0_p_ci_med	1.47176
R0_p_ci_up	3.032763
gamma_p_mean	0.05654738
gamma_p_ci_low	0.009985308
gamma_p_ci_med	0.04951432
gamma_p_ci_up	0.1404409
beta_p_mean	0.08168286
beta_p_ci_low	0.01529827
beta_p_ci_med	0.07588872
beta_p_ci_up	0.1811707
incidence_mean	0.003595739
incidence_ci_low	0.0002005029
incidence_ci_median	0.001208227
incidence_ci_up	0.02121442
thetaI_tp1_mean	0.0008859855
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.006817904
thetaR_tp1_mean	0.003156558
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.001600456
thetaR_tp1_ci_up	0.01553116
Y_tp1_mean	0.0008859352
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.006823966
R_tp1_mean	0.003156235
R_tp1_ci_low	0
R_tp1_ci_med	0.001599896
R_tp1_ci_up	0.01553502
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.003156558
thetaR_max_ci_low	0
thetaR_max_ci_med	0.001600456
thetaR_max_ci_up	0.01553116
cumInf_mean	0.004042544
cumInf_ci_low	0
cumInf_ci_med	0.001679204
cumInf_ci_up	0.0220012
dthetaI_tp1_date	02/08/21
first_tp_mean	09/01/20
first_tp_ci_low	07/25/20
first_tp_ci_med	08/27/20
first_tp_ci_up	02/08/21
dthetaI_tp2_date	02/08/21
second_tp_mean	09/04/20
second_tp_ci_low	07/27/20
second_tp_ci_med	08/29/20
second_tp_ci_up	02/08/21
end_p_mean	12/13/20
end_p_ci_low	09/28/20
end_p_ci_med	12/09/20
end_p_ci_up	02/08/21
begin_str	07/24/2020
