stat	value
thetaS_last_obs_p_mean	0.9884517
thetaI_last_obs_p_mean	0.00024126
thetaR_last_obs_p_mean	0.01130701
thetaS_last_obs_p_ci_low	0.9880263
thetaS_last_obs_p_ci_med	0.9884519
thetaS_last_obs_p_ci_up	0.9888737
thetaI_last_obs_p_ci_low	0.0001825561
thetaI_last_obs_p_ci_med	0.0002403956
thetaI_last_obs_p_ci_up	0.0003053353
thetaR_last_obs_p_ci_low	0.01088895
thetaR_last_obs_p_ci_med	0.0113064
thetaR_last_obs_p_ci_up	0.01172867
R0_p_mean	0.9674219
R0_p_ci_low	0.5290648
R0_p_ci_med	0.9047001
R0_p_ci_up	1.83765
gamma_p_mean	0.06370696
gamma_p_ci_low	0.007721466
gamma_p_ci_med	0.05548724
gamma_p_ci_up	0.1655891
beta_p_mean	0.05713206
beta_p_ci_low	0.009013256
beta_p_ci_med	0.04830046
beta_p_ci_up	0.152445
incidence_mean	0.001885206
incidence_ci_low	0.0003085666
incidence_ci_median	0.001589388
incidence_ci_up	0.004976428
thetaI_tp1_mean	8.818949e-05
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.0009434168
thetaR_tp1_mean	0.01202981
thetaR_tp1_ci_low	0.006184647
thetaR_tp1_ci_med	0.01177754
thetaR_tp1_ci_up	0.01928292
Y_tp1_mean	8.828325e-05
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.0009442647
R_tp1_mean	0.0120298
R_tp1_ci_low	0.006177364
R_tp1_ci_med	0.01177992
R_tp1_ci_up	0.01931454
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01202981
thetaR_max_ci_low	0.006184647
thetaR_max_ci_med	0.01177754
thetaR_max_ci_up	0.01928292
cumInf_mean	0.012118
cumInf_ci_low	0.006210716
cumInf_ci_med	0.01183823
cumInf_ci_up	0.01956138
dthetaI_tp1_date	06/23/21
first_tp_mean	12/21/20
first_tp_ci_low	12/06/20
first_tp_ci_med	12/13/20
first_tp_ci_up	01/20/21
dthetaI_tp2_date	06/23/21
second_tp_mean	12/23/20
second_tp_ci_low	12/06/20
second_tp_ci_med	12/15/20
second_tp_ci_up	01/21/21
end_p_mean	04/07/21
end_p_ci_low	02/08/21
end_p_ci_med	03/25/21
end_p_ci_up	06/23/21
begin_str	12/06/2020
