stat	value
thetaS_last_obs_p_mean	0.9623252
thetaI_last_obs_p_mean	0.0001398331
thetaR_last_obs_p_mean	0.03753495
thetaS_last_obs_p_ci_low	0.9615691
thetaS_last_obs_p_ci_med	0.9623269
thetaS_last_obs_p_ci_up	0.963076
thetaI_last_obs_p_ci_low	9.507575e-05
thetaI_last_obs_p_ci_med	0.0001390301
thetaI_last_obs_p_ci_up	0.0001888978
thetaR_last_obs_p_ci_low	0.03678533
thetaR_last_obs_p_ci_med	0.03753327
thetaR_last_obs_p_ci_up	0.03829138
R0_p_mean	0.7118948
R0_p_ci_low	0.4272258
R0_p_ci_med	0.7163476
R0_p_ci_up	0.9630549
gamma_p_mean	0.1430872
gamma_p_ci_low	0.03624615
gamma_p_ci_med	0.1353744
gamma_p_ci_up	0.2895086
beta_p_mean	0.1049049
beta_p_ci_low	0.02273176
beta_p_ci_med	0.09373644
beta_p_ci_up	0.2477104
incidence_mean	0.002564427
incidence_ci_low	0.0005983767
incidence_ci_median	0.002304991
incidence_ci_up	0.00594891
thetaI_tp1_mean	1.982505e-06
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0
thetaR_tp1_mean	0.03784234
thetaR_tp1_ci_low	0.02732042
thetaR_tp1_ci_med	0.03762958
thetaR_tp1_ci_up	0.04958999
Y_tp1_mean	1.981308e-06
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0
R_tp1_mean	0.03784146
R_tp1_ci_low	0.02726889
R_tp1_ci_med	0.03762657
R_tp1_ci_up	0.04963428
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.03784234
thetaR_max_ci_low	0.02732042
thetaR_max_ci_med	0.03762958
thetaR_max_ci_up	0.04958999
cumInf_mean	0.03784432
cumInf_ci_low	0.02732129
cumInf_ci_med	0.03763135
cumInf_ci_up	0.04959609
dthetaI_tp1_date	06/23/21
first_tp_mean	12/26/20
first_tp_ci_low	12/06/20
first_tp_ci_med	12/26/20
first_tp_ci_up	01/19/21
dthetaI_tp2_date	06/23/21
second_tp_mean	12/26/20
second_tp_ci_low	12/06/20
second_tp_ci_med	12/26/20
second_tp_ci_up	01/20/21
end_p_mean	02/22/21
end_p_ci_low	01/30/21
end_p_ci_med	02/17/21
end_p_ci_up	04/25/21
begin_str	12/06/2020
