stat	value
thetaS_last_obs_p_mean	0.9668454
thetaI_last_obs_p_mean	0.000725455
thetaR_last_obs_p_mean	0.03242918
thetaS_last_obs_p_ci_low	0.9661286
thetaS_last_obs_p_ci_med	0.9668463
thetaS_last_obs_p_ci_up	0.9675541
thetaI_last_obs_p_ci_low	0.0006204242
thetaI_last_obs_p_ci_med	0.0007246144
thetaI_last_obs_p_ci_up	0.0008362513
thetaR_last_obs_p_ci_low	0.03172608
thetaR_last_obs_p_ci_med	0.03242771
thetaR_last_obs_p_ci_up	0.03313607
R0_p_mean	0.8292044
R0_p_ci_low	0.5156959
R0_p_ci_med	0.8254832
R0_p_ci_up	1.187959
gamma_p_mean	0.07063611
gamma_p_ci_low	0.01495829
gamma_p_ci_med	0.06772215
gamma_p_ci_up	0.1423348
beta_p_mean	0.05873893
beta_p_ci_low	0.01248279
beta_p_ci_med	0.0542753
beta_p_ci_up	0.1293165
incidence_mean	0.004268783
incidence_ci_low	0.001093687
incidence_ci_median	0.004009686
incidence_ci_up	0.008854435
thetaI_tp1_mean	3.153546e-05
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.0003756932
thetaR_tp1_mean	0.03384522
thetaR_tp1_ci_low	0.02368078
thetaR_tp1_ci_med	0.0336301
thetaR_tp1_ci_up	0.04516702
Y_tp1_mean	3.145752e-05
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.0003752728
R_tp1_mean	0.03384505
R_tp1_ci_low	0.02363092
R_tp1_ci_med	0.03362709
R_tp1_ci_up	0.04521762
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.03384522
thetaR_max_ci_low	0.02368078
thetaR_max_ci_med	0.0336301
thetaR_max_ci_up	0.04516702
cumInf_mean	0.03387676
cumInf_ci_low	0.02369977
cumInf_ci_med	0.03365831
cumInf_ci_up	0.04522535
dthetaI_tp1_date	08/25/21
first_tp_mean	02/20/21
first_tp_ci_low	02/07/21
first_tp_ci_med	02/13/21
first_tp_ci_up	03/23/21
dthetaI_tp2_date	08/25/21
second_tp_mean	02/21/21
second_tp_ci_low	02/07/21
second_tp_ci_med	02/14/21
second_tp_ci_up	03/24/21
end_p_mean	06/16/21
end_p_ci_low	04/26/21
end_p_ci_med	06/08/21
end_p_ci_up	08/25/21
begin_str	02/07/2021
