stat	value
thetaS_last_obs_p_mean	0.9963966
thetaI_last_obs_p_mean	1.745551e-05
thetaR_last_obs_p_mean	0.003585917
thetaS_last_obs_p_ci_low	0.9961607
thetaS_last_obs_p_ci_med	0.9963977
thetaS_last_obs_p_ci_up	0.996626
thetaI_last_obs_p_ci_low	4.634657e-06
thetaI_last_obs_p_ci_med	1.659773e-05
thetaI_last_obs_p_ci_up	3.498309e-05
thetaR_last_obs_p_ci_low	0.003357079
thetaR_last_obs_p_ci_med	0.003584963
thetaR_last_obs_p_ci_up	0.003821455
R0_p_mean	1.640419
R0_p_ci_low	0.6880641
R0_p_ci_med	1.495088
R0_p_ci_up	3.422526
gamma_p_mean	0.05253917
gamma_p_ci_low	0.006755951
gamma_p_ci_med	0.03716641
gamma_p_ci_up	0.1911216
beta_p_mean	0.07525494
beta_p_ci_low	0.009613469
beta_p_ci_med	0.0591072
beta_p_ci_up	0.2326007
incidence_mean	0.03274574
incidence_ci_low	2.041785e-05
incidence_ci_median	0.0001436326
incidence_ci_up	0.5905488
thetaI_tp1_mean	0.003530151
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.03407323
thetaR_tp1_mean	0.009671437
thetaR_tp1_ci_low	0.001359522
thetaR_tp1_ci_med	0.003706225
thetaR_tp1_ci_up	0.04412271
Y_tp1_mean	0.003530391
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.03408004
R_tp1_mean	0.009670907
R_tp1_ci_low	0.001349192
R_tp1_ci_med	0.00370474
R_tp1_ci_up	0.04421749
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.02849527
thetaR_max_ci_low	0.0009307194
thetaR_max_ci_med	0.003747516
thetaR_max_ci_up	0.4458123
cumInf_mean	0.03600694
cumInf_ci_low	0.0009318111
cumInf_ci_med	0.003768253
cumInf_ci_up	0.5905953
dthetaI_tp1_date	05/12/21
first_tp_mean	01/24/21
first_tp_ci_low	12/20/20
first_tp_ci_med	01/02/21
first_tp_ci_up	07/07/21
dthetaI_tp2_date	05/12/21
second_tp_mean	01/26/21
second_tp_ci_low	12/22/20
second_tp_ci_med	01/04/21
second_tp_ci_up	07/07/21
end_p_mean	03/13/21
end_p_ci_low	02/05/21
end_p_ci_med	02/15/21
end_p_ci_up	07/07/21
begin_str	12/20/2020
