stat	value
thetaS_last_obs_p_mean	0.9988895
thetaI_last_obs_p_mean	0.0002495631
thetaR_last_obs_p_mean	0.0008609628
thetaS_last_obs_p_ci_low	0.9987559
thetaS_last_obs_p_ci_med	0.9988903
thetaS_last_obs_p_ci_up	0.999018
thetaI_last_obs_p_ci_low	0.0001904856
thetaI_last_obs_p_ci_med	0.0002486235
thetaI_last_obs_p_ci_up	0.0003136889
thetaR_last_obs_p_ci_low	0.000748158
thetaR_last_obs_p_ci_med	0.0008602675
thetaR_last_obs_p_ci_up	0.0009783946
R0_p_mean	1.628828
R0_p_ci_low	0.8045581
R0_p_ci_med	1.512139
R0_p_ci_up	3.116713
gamma_p_mean	0.04919834
gamma_p_ci_low	0.009047597
gamma_p_ci_med	0.04305367
gamma_p_ci_up	0.1220368
beta_p_mean	0.07310631
beta_p_ci_low	0.01376285
beta_p_ci_med	0.06801769
beta_p_ci_up	0.161758
incidence_mean	0.003617105
incidence_ci_low	0.0002140919
incidence_ci_median	0.00131136
incidence_ci_up	0.02103666
thetaI_tp1_mean	0.0009191349
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.00701914
thetaR_tp1_mean	0.003212202
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.00175925
thetaR_tp1_ci_up	0.01514698
Y_tp1_mean	0.0009189813
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.007006164
R_tp1_mean	0.003212777
R_tp1_ci_low	0
R_tp1_ci_med	0.001758917
R_tp1_ci_up	0.01518117
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.003212202
thetaR_max_ci_low	0
thetaR_max_ci_med	0.00175925
thetaR_max_ci_up	0.01514698
cumInf_mean	0.004131337
cumInf_ci_low	0
cumInf_ci_med	0.001866885
cumInf_ci_up	0.02189843
dthetaI_tp1_date	01/07/21
first_tp_mean	07/28/20
first_tp_ci_low	06/24/20
first_tp_ci_med	07/20/20
first_tp_ci_up	01/07/21
dthetaI_tp2_date	01/07/21
second_tp_mean	07/30/20
second_tp_ci_low	06/26/20
second_tp_ci_med	07/22/20
second_tp_ci_up	01/07/21
end_p_mean	11/18/20
end_p_ci_low	08/29/20
end_p_ci_med	11/24/20
end_p_ci_up	01/07/21
begin_str	06/22/2020
