stat	value
thetaS_last_obs_p_mean	0.9900822
thetaI_last_obs_p_mean	9.053296e-05
thetaR_last_obs_p_mean	0.009827307
thetaS_last_obs_p_ci_low	0.9896891
thetaS_last_obs_p_ci_med	0.9900829
thetaS_last_obs_p_ci_up	0.9904711
thetaI_last_obs_p_ci_low	5.615366e-05
thetaI_last_obs_p_ci_med	8.95747e-05
thetaI_last_obs_p_ci_up	0.0001302577
thetaR_last_obs_p_ci_low	0.009439262
thetaR_last_obs_p_ci_med	0.009826545
thetaR_last_obs_p_ci_up	0.01021886
R0_p_mean	1.159401
R0_p_ci_low	0.5503683
R0_p_ci_med	1.042932
R0_p_ci_up	2.408373
gamma_p_mean	0.05292097
gamma_p_ci_low	0.00597251
gamma_p_ci_med	0.03781795
gamma_p_ci_up	0.1819863
beta_p_mean	0.05303488
beta_p_ci_low	0.007586798
beta_p_ci_med	0.04066164
beta_p_ci_up	0.1702484
incidence_mean	0.0009560231
incidence_ci_low	0.0001010539
incidence_ci_median	0.0005928654
incidence_ci_up	0.003496598
thetaI_tp1_mean	0.0001134603
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.001046479
thetaR_tp1_mean	0.01020878
thetaR_tp1_ci_low	0.004909806
thetaR_tp1_ci_med	0.009941655
thetaR_tp1_ci_up	0.01694842
Y_tp1_mean	0.0001134169
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.001050546
R_tp1_mean	0.01020944
R_tp1_ci_low	0.004889266
R_tp1_ci_med	0.009938254
R_tp1_ci_up	0.01697176
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01020878
thetaR_max_ci_low	0.004909806
thetaR_max_ci_med	0.009941655
thetaR_max_ci_up	0.01694842
cumInf_mean	0.01032224
cumInf_ci_low	0.004924211
cumInf_ci_med	0.009993484
cumInf_ci_up	0.01731725
dthetaI_tp1_date	06/27/21
first_tp_mean	12/30/20
first_tp_ci_low	12/10/20
first_tp_ci_med	12/26/20
first_tp_ci_up	01/24/21
dthetaI_tp2_date	06/27/21
second_tp_mean	01/02/21
second_tp_ci_low	12/12/20
second_tp_ci_med	12/27/20
second_tp_ci_up	04/03/21
end_p_mean	03/22/21
end_p_ci_low	02/02/21
end_p_ci_med	03/03/21
end_p_ci_up	06/27/21
begin_str	12/10/2020
