date	value	incidence	scenario	lower_ci	upper_ci
2020-12-09	794020	NA	Observed	NA	NA
2020-12-10	795240	1220	Observed	NA	NA
2020-12-11	796475	1235	Observed	NA	NA
2020-12-12	797693	1218	Observed	NA	NA
2020-12-13	798888	1195	Observed	NA	NA
2020-12-14	800029	1141	Observed	NA	NA
2020-12-15	801161	1132	Observed	NA	NA
2020-12-16	802342	1181	Observed	NA	NA
2020-12-17	803516	1174	Observed	NA	NA
2020-12-18	804650	1134	Observed	NA	NA
2020-12-19	805777	1127	Observed	NA	NA
2020-12-20	806891	1114	Observed	NA	NA
2020-12-21	807962	1071	Observed	NA	NA
2020-12-22	809014	1052	Observed	NA	NA
2020-12-23	810080	1066	Observed	NA	NA
2020-12-24	811115	1035	Observed	NA	NA
2020-12-25	812142	1027	Observed	NA	NA
2020-12-26	813161	1019	Observed	NA	NA
2020-12-27	814170	1009	Observed	NA	NA
2020-12-28	815175	1005	Observed	NA	NA
2020-12-29	816132	957	Observed	NA	NA
2020-12-30	817077	945	Observed	NA	NA
2020-12-31	818014	937	Observed	NA	NA
2021-01-01	818935	921	Observed	NA	NA
2021-01-02	819845	910	Observed	NA	NA
2021-01-03	820712	867	Observed	NA	NA
2021-01-04	821550	838	Observed	NA	NA
2021-01-05	822370	820	Observed	NA	NA
2021-01-06	823181	811	Observed	NA	NA
2021-01-07	823986	805	Observed	NA	NA
2021-01-08	824776	790	Observed	NA	NA
2021-01-09	825537	761	Observed	NA	NA
2021-01-10	826261	724	Observed	NA	NA
2021-01-11	826943	682	Observed	NA	NA
2021-01-12	827614	671	Observed	NA	NA
2021-01-13	828287	673	Observed	NA	NA
2021-01-14	828952	665	Observed	NA	NA
2021-01-15	829573	621	Observed	NA	NA
2021-01-16	830183	610	Observed	NA	NA
2021-01-17	830772	589	Observed	NA	NA
2021-01-18	831323	551	Observed	NA	NA
2021-01-19	831866	543	Observed	NA	NA
2021-01-20	832415	549	Observed	NA	NA
2021-01-21	833011	596	Observed	NA	NA
2021-01-22	833585	574	Observed	NA	NA
2021-01-23	833822	NA	Soc. Dist. + Travel Ban	769522	901602
2021-01-24	834059	237	Soc. Dist. + Travel Ban	760604	912438
2021-01-25	834289	230	Soc. Dist. + Travel Ban	752199	922385
2021-01-26	834555	266	Soc. Dist. + Travel Ban	745513	930935
2021-01-27	834772	217	Soc. Dist. + Travel Ban	738675	939111
2021-01-28	835025	253	Soc. Dist. + Travel Ban	732945	946523
2021-01-29	835180	155	Soc. Dist. + Travel Ban	726732	954066
2021-01-30	835487	307	Soc. Dist. + Travel Ban	721565	960144
2021-01-31	835702	215	Soc. Dist. + Travel Ban	716583	967283
2021-02-01	835949	247	Soc. Dist. + Travel Ban	712458	974042
2021-02-02	836126	177	Soc. Dist. + Travel Ban	707773	980211
2021-02-03	836370	244	Soc. Dist. + Travel Ban	703138	985995
2021-02-04	836603	233	Soc. Dist. + Travel Ban	699066	991700
