stat	value
thetaS_last_obs_p_mean	0.9838881
thetaI_last_obs_p_mean	0.0006395937
thetaR_last_obs_p_mean	0.01547235
thetaS_last_obs_p_ci_low	0.9833847
thetaS_last_obs_p_ci_med	0.9838893
thetaS_last_obs_p_ci_up	0.9843838
thetaI_last_obs_p_ci_low	0.0005414557
thetaI_last_obs_p_ci_med	0.0006384484
thetaI_last_obs_p_ci_up	0.0007434012
thetaR_last_obs_p_ci_low	0.01498526
thetaR_last_obs_p_ci_med	0.01547116
thetaR_last_obs_p_ci_up	0.01596388
R0_p_mean	0.8183503
R0_p_ci_low	0.5918782
R0_p_ci_med	0.8239516
R0_p_ci_up	1.012174
gamma_p_mean	0.1089371
gamma_p_ci_low	0.05265823
gamma_p_ci_med	0.1087881
gamma_p_ci_up	0.1664983
beta_p_mean	0.09003349
beta_p_ci_low	0.03623764
beta_p_ci_med	0.08919929
beta_p_ci_up	0.1492223
incidence_mean	0.006006719
incidence_ci_low	0.002534582
incidence_ci_median	0.005933333
incidence_ci_up	0.009909033
thetaI_tp1_mean	5.251494e-06
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	3.101267e-05
thetaR_tp1_mean	0.0171791
thetaR_tp1_ci_low	0.0101105
thetaR_tp1_ci_med	0.01694122
thetaR_tp1_ci_up	0.02554719
Y_tp1_mean	5.259687e-06
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	2.879779e-05
R_tp1_mean	0.01717855
R_tp1_ci_low	0.01009084
R_tp1_ci_med	0.01694395
R_tp1_ci_up	0.0255675
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.0171791
thetaR_max_ci_low	0.0101105
thetaR_max_ci_med	0.01694122
thetaR_max_ci_up	0.02554719
cumInf_mean	0.01718435
cumInf_ci_low	0.01011372
cumInf_ci_med	0.01694577
cumInf_ci_up	0.02556028
dthetaI_tp1_date	03/27/21
first_tp_mean	09/19/20
first_tp_ci_low	09/09/20
first_tp_ci_med	09/12/20
first_tp_ci_up	10/23/20
dthetaI_tp2_date	03/27/21
second_tp_mean	09/19/20
second_tp_ci_low	09/09/20
second_tp_ci_med	09/12/20
second_tp_ci_up	10/24/20
end_p_mean	01/04/21
end_p_ci_low	11/23/20
end_p_ci_med	12/29/20
end_p_ci_up	03/27/21
begin_str	09/09/2020
