stat	value
thetaS_last_obs_p_mean	0.9930162
thetaI_last_obs_p_mean	5.154885e-05
thetaR_last_obs_p_mean	0.006932297
thetaS_last_obs_p_ci_low	0.9926897
thetaS_last_obs_p_ci_med	0.9930167
thetaS_last_obs_p_ci_up	0.9933385
thetaI_last_obs_p_ci_low	2.655561e-05
thetaI_last_obs_p_ci_med	5.062581e-05
thetaI_last_obs_p_ci_up	8.188678e-05
thetaR_last_obs_p_ci_low	0.006611131
thetaR_last_obs_p_ci_med	0.006931965
thetaR_last_obs_p_ci_up	0.00725714
R0_p_mean	1.66492
R0_p_ci_low	0.7049912
R0_p_ci_med	1.518434
R0_p_ci_up	3.450935
gamma_p_mean	0.05071192
gamma_p_ci_low	0.006828889
gamma_p_ci_med	0.03649694
gamma_p_ci_up	0.1810586
beta_p_mean	0.074077
beta_p_ci_low	0.009776292
beta_p_ci_med	0.0589849
beta_p_ci_up	0.2235967
incidence_mean	0.0108175
incidence_ci_low	3.240787e-05
incidence_ci_median	0.0002497875
incidence_ci_up	0.09848888
thetaI_tp1_mean	0.002949773
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.02758468
thetaR_tp1_mean	0.01250087
thetaR_tp1_ci_low	0.003184476
thetaR_tp1_ci_med	0.007300856
thetaR_tp1_ci_up	0.04698299
Y_tp1_mean	0.002949612
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.02760295
R_tp1_mean	0.01250242
R_tp1_ci_low	0.003170913
R_tp1_ci_med	0.007301017
R_tp1_ci_up	0.04697595
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01404883
thetaR_max_ci_low	0.003065601
thetaR_max_ci_med	0.007329357
thetaR_max_ci_up	0.06368389
cumInf_mean	0.01751434
cumInf_ci_low	0.00307442
cumInf_ci_med	0.007399684
cumInf_ci_up	0.1045014
dthetaI_tp1_date	08/05/21
first_tp_mean	03/12/21
first_tp_ci_low	01/28/21
first_tp_ci_med	02/23/21
first_tp_ci_up	08/15/21
dthetaI_tp2_date	08/05/21
second_tp_mean	03/14/21
second_tp_ci_low	01/30/21
second_tp_ci_med	02/25/21
second_tp_ci_up	08/15/21
end_p_mean	05/12/21
end_p_ci_low	03/20/21
end_p_ci_med	04/16/21
end_p_ci_up	08/15/21
begin_str	01/28/2021
