stat	value
thetaS_last_obs_p_mean	0.9994794
thetaI_last_obs_p_mean	0.0003383432
thetaR_last_obs_p_mean	0.0001822406
thetaS_last_obs_p_ci_low	0.9993895
thetaS_last_obs_p_ci_med	0.9994799
thetaS_last_obs_p_ci_up	0.9995628
thetaI_last_obs_p_ci_low	0.0002678403
thetaI_last_obs_p_ci_med	0.0003369458
thetaI_last_obs_p_ci_up	0.0004120155
thetaR_last_obs_p_ci_low	0.0001325619
thetaR_last_obs_p_ci_med	0.0001812238
thetaR_last_obs_p_ci_up	0.0002380096
R0_p_mean	2.062585
R0_p_ci_low	1.053092
R0_p_ci_med	1.969603
R0_p_ci_up	3.466152
gamma_p_mean	0.04959915
gamma_p_ci_low	0.02213972
gamma_p_ci_med	0.04882691
gamma_p_ci_up	0.08174077
beta_p_mean	0.09841806
beta_p_ci_low	0.04175801
beta_p_ci_med	0.09692896
beta_p_ci_up	0.1657325
incidence_mean	0.1292766
incidence_ci_low	0.000637446
incidence_ci_median	0.02696899
incidence_ci_up	0.7419264
thetaI_tp1_mean	0.02104075
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.003625677
thetaI_tp1_ci_up	0.1551897
thetaR_tp1_mean	0.03012047
thetaR_tp1_ci_low	0.0001445995
thetaR_tp1_ci_med	0.007448353
thetaR_tp1_ci_up	0.2249039
Y_tp1_mean	0.02104925
Y_tp1_ci_low	0
Y_tp1_ci_med	0.003665871
Y_tp1_ci_up	0.1559233
R_tp1_mean	0.03012164
R_tp1_ci_low	0.0001476868
R_tp1_ci_med	0.007408932
R_tp1_ci_up	0.2228413
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.09030419
thetaR_max_ci_low	3.352272e-05
thetaR_max_ci_med	0.01820091
thetaR_max_ci_up	0.5827786
cumInf_mean	0.1281443
cumInf_ci_low	3.352272e-05
cumInf_ci_med	0.02667712
cumInf_ci_up	0.7351305
dthetaI_tp1_date	09/17/20
first_tp_mean	08/21/20
first_tp_ci_low	05/07/20
first_tp_ci_med	10/04/20
first_tp_ci_up	10/29/20
dthetaI_tp2_date	09/17/20
second_tp_mean	08/25/20
second_tp_ci_low	05/10/20
second_tp_ci_med	10/14/20
second_tp_ci_up	10/29/20
end_p_mean	10/19/20
end_p_ci_low	07/15/20
end_p_ci_med	10/29/20
end_p_ci_up	10/29/20
begin_str	04/13/2020
