stat	value
thetaS_last_obs_p_mean	0.962341
thetaI_last_obs_p_mean	0.0001435505
thetaR_last_obs_p_mean	0.03751548
thetaS_last_obs_p_ci_low	0.9615896
thetaS_last_obs_p_ci_med	0.9623407
thetaS_last_obs_p_ci_up	0.9630903
thetaI_last_obs_p_ci_low	9.921887e-05
thetaI_last_obs_p_ci_med	0.0001424461
thetaI_last_obs_p_ci_up	0.0001939598
thetaR_last_obs_p_ci_low	0.03676807
thetaR_last_obs_p_ci_med	0.03751584
thetaR_last_obs_p_ci_up	0.03826674
R0_p_mean	0.7017937
R0_p_ci_low	0.4258689
R0_p_ci_med	0.7090397
R0_p_ci_up	0.9332819
gamma_p_mean	0.1480412
gamma_p_ci_low	0.04510743
gamma_p_ci_med	0.1408407
gamma_p_ci_up	0.2881773
beta_p_mean	0.1074396
beta_p_ci_low	0.02571897
beta_p_ci_med	0.09706927
beta_p_ci_up	0.2456465
incidence_mean	0.002980149
incidence_ci_low	0.0007372708
incidence_ci_median	0.002658183
incidence_ci_up	0.006953671
thetaI_tp1_mean	5.027346e-06
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0
thetaR_tp1_mean	0.03801383
thetaR_tp1_ci_low	0.02738001
thetaR_tp1_ci_med	0.03781041
thetaR_tp1_ci_up	0.04981814
Y_tp1_mean	5.023745e-06
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0
R_tp1_mean	0.0380151
R_tp1_ci_low	0.02733165
R_tp1_ci_med	0.03780192
R_tp1_ci_up	0.04988275
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.03801383
thetaR_max_ci_low	0.02738001
thetaR_max_ci_med	0.03781041
thetaR_max_ci_up	0.04981814
cumInf_mean	0.03801886
cumInf_ci_low	0.02738207
cumInf_ci_med	0.03781539
cumInf_ci_up	0.04983783
dthetaI_tp1_date	06/22/21
first_tp_mean	12/25/20
first_tp_ci_low	12/05/20
first_tp_ci_med	12/26/20
first_tp_ci_up	01/18/21
dthetaI_tp2_date	06/22/21
second_tp_mean	12/26/20
second_tp_ci_low	12/05/20
second_tp_ci_med	12/26/20
second_tp_ci_up	01/19/21
end_p_mean	03/01/21
end_p_ci_low	01/30/21
end_p_ci_med	02/22/21
end_p_ci_up	05/27/21
begin_str	12/05/2020
