stat	value
thetaS_last_obs_p_mean	0.9920572
thetaI_last_obs_p_mean	4.447807e-05
thetaR_last_obs_p_mean	0.007898274
thetaS_last_obs_p_ci_low	0.9917095
thetaS_last_obs_p_ci_med	0.9920578
thetaS_last_obs_p_ci_up	0.9924003
thetaI_last_obs_p_ci_low	2.197234e-05
thetaI_last_obs_p_ci_med	4.36515e-05
thetaI_last_obs_p_ci_up	7.171912e-05
thetaR_last_obs_p_ci_low	0.007555327
thetaR_last_obs_p_ci_med	0.007897582
thetaR_last_obs_p_ci_up	0.008244897
R0_p_mean	1.580234
R0_p_ci_low	0.6713598
R0_p_ci_med	1.439445
R0_p_ci_up	3.287885
gamma_p_mean	0.05017171
gamma_p_ci_low	0.006595076
gamma_p_ci_med	0.03526825
gamma_p_ci_up	0.1848149
beta_p_mean	0.06883746
beta_p_ci_low	0.009263193
beta_p_ci_med	0.05413034
beta_p_ci_up	0.2150026
incidence_mean	0.03876665
incidence_ci_low	3.440958e-05
incidence_ci_median	0.0002755528
incidence_ci_up	0.5736519
thetaI_tp1_mean	0.00586951
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.07040406
thetaR_tp1_mean	0.01882948
thetaR_tp1_ci_low	0.004256834
thetaR_tp1_ci_med	0.008465347
thetaR_tp1_ci_up	0.1223143
Y_tp1_mean	0.005869215
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.07042512
R_tp1_mean	0.0188301
R_tp1_ci_low	0.004237106
R_tp1_ci_med	0.008467321
R_tp1_ci_up	0.1223467
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.03596053
thetaR_max_ci_low	0.003778006
thetaR_max_ci_med	0.008679267
thetaR_max_ci_up	0.4312113
cumInf_mean	0.04622703
cumInf_ci_low	0.003792085
cumInf_ci_med	0.0087917
cumInf_ci_up	0.578108
dthetaI_tp1_date	05/14/21
first_tp_mean	01/31/21
first_tp_ci_low	12/05/20
first_tp_ci_med	12/31/20
first_tp_ci_up	06/22/21
dthetaI_tp2_date	05/14/21
second_tp_mean	02/02/21
second_tp_ci_low	12/07/20
second_tp_ci_med	01/01/21
second_tp_ci_up	06/22/21
end_p_mean	03/25/21
end_p_ci_low	01/24/21
end_p_ci_med	02/22/21
end_p_ci_up	06/22/21
begin_str	12/05/2020
