Date	State	Cases	Recovered	Deaths	Name
2020-03-15	an	0	0	0	Andaman and Nicobar Islands
2020-03-16	an	0	0	0	Andaman and Nicobar Islands
2020-03-17	an	0	0	0	Andaman and Nicobar Islands
2020-03-18	an	0	0	0	Andaman and Nicobar Islands
2020-03-19	an	0	0	0	Andaman and Nicobar Islands
2020-03-20	an	0	0	0	Andaman and Nicobar Islands
2020-03-21	an	0	0	0	Andaman and Nicobar Islands
2020-03-22	an	0	0	0	Andaman and Nicobar Islands
2020-03-23	an	0	0	0	Andaman and Nicobar Islands
2020-03-24	an	0	0	0	Andaman and Nicobar Islands
2020-03-25	an	0	0	0	Andaman and Nicobar Islands
2020-03-26	an	1	0	0	Andaman and Nicobar Islands
2020-03-27	an	6	0	0	Andaman and Nicobar Islands
2020-03-28	an	9	0	0	Andaman and Nicobar Islands
2020-03-29	an	9	0	0	Andaman and Nicobar Islands
2020-03-30	an	10	0	0	Andaman and Nicobar Islands
2020-03-31	an	10	0	0	Andaman and Nicobar Islands
2020-04-01	an	10	0	0	Andaman and Nicobar Islands
2020-04-02	an	10	0	0	Andaman and Nicobar Islands
2020-04-03	an	10	0	0	Andaman and Nicobar Islands
2020-04-04	an	10	0	0	Andaman and Nicobar Islands
2020-04-05	an	10	0	0	Andaman and Nicobar Islands
2020-04-06	an	10	0	0	Andaman and Nicobar Islands
2020-04-07	an	10	0	0	Andaman and Nicobar Islands
2020-04-08	an	11	0	0	Andaman and Nicobar Islands
2020-04-09	an	11	10	0	Andaman and Nicobar Islands
2020-04-10	an	11	10	0	Andaman and Nicobar Islands
2020-04-11	an	11	10	0	Andaman and Nicobar Islands
2020-04-12	an	11	10	0	Andaman and Nicobar Islands
2020-04-13	an	11	10	0	Andaman and Nicobar Islands
2020-04-14	an	11	10	0	Andaman and Nicobar Islands
2020-04-15	an	11	10	0	Andaman and Nicobar Islands
2020-04-16	an	11	11	0	Andaman and Nicobar Islands
2020-04-17	an	12	11	0	Andaman and Nicobar Islands
2020-04-18	an	14	11	0	Andaman and Nicobar Islands
2020-04-19	an	15	11	0	Andaman and Nicobar Islands
2020-04-20	an	16	11	0	Andaman and Nicobar Islands
2020-04-21	an	17	11	0	Andaman and Nicobar Islands
2020-04-22	an	18	11	0	Andaman and Nicobar Islands
2020-04-23	an	22	11	0	Andaman and Nicobar Islands
2020-04-24	an	29	11	0	Andaman and Nicobar Islands
2020-04-25	an	33	11	0	Andaman and Nicobar Islands
2020-04-26	an	33	11	0	Andaman and Nicobar Islands
2020-04-27	an	33	11	0	Andaman and Nicobar Islands
