stat	value
thetaS_last_obs_p_mean	0.9617423
thetaI_last_obs_p_mean	0.0001245593
thetaR_last_obs_p_mean	0.03813315
thetaS_last_obs_p_ci_low	0.9609912
thetaS_last_obs_p_ci_med	0.9617428
thetaS_last_obs_p_ci_up	0.9624878
thetaI_last_obs_p_ci_low	8.331173e-05
thetaI_last_obs_p_ci_med	0.0001238378
thetaI_last_obs_p_ci_up	0.0001698045
thetaR_last_obs_p_ci_low	0.0373887
thetaR_last_obs_p_ci_med	0.03813281
thetaR_last_obs_p_ci_up	0.03888265
R0_p_mean	1.698443
R0_p_ci_low	0.7438767
R0_p_ci_med	1.554385
R0_p_ci_up	3.463412
gamma_p_mean	0.05096375
gamma_p_ci_low	0.00690338
gamma_p_ci_med	0.03658281
gamma_p_ci_up	0.1817275
beta_p_mean	0.07617038
beta_p_ci_low	0.009988723
beta_p_ci_med	0.06109391
beta_p_ci_up	0.2310954
incidence_mean	0.01437142
incidence_ci_low	6.563673e-05
incidence_ci_median	0.0006647709
incidence_ci_up	0.148312
thetaI_tp1_mean	0.004406685
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.04805206
thetaR_tp1_mean	0.04669523
thetaR_tp1_ci_low	0.02871499
thetaR_tp1_ci_med	0.03971446
thetaR_tp1_ci_up	0.1146389
Y_tp1_mean	0.004406545
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.04805012
R_tp1_mean	0.04669459
R_tp1_ci_low	0.02869109
R_tp1_ci_med	0.03970519
R_tp1_ci_up	0.1147165
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.04751738
thetaR_max_ci_low	0.02860931
thetaR_max_ci_med	0.03977943
thetaR_max_ci_up	0.1251477
cumInf_mean	0.05220993
cumInf_ci_low	0.02869651
cumInf_ci_med	0.04009713
cumInf_ci_up	0.1842375
dthetaI_tp1_date	08/10/21
first_tp_mean	03/28/21
first_tp_ci_low	01/28/21
first_tp_ci_med	03/04/21
first_tp_ci_up	08/14/21
dthetaI_tp2_date	08/10/21
second_tp_mean	03/31/21
second_tp_ci_low	01/29/21
second_tp_ci_med	03/06/21
second_tp_ci_up	08/14/21
end_p_mean	06/12/21
end_p_ci_low	03/26/21
end_p_ci_med	06/05/21
end_p_ci_up	08/14/21
begin_str	01/27/2021
