stat	value
thetaS_last_obs_p_mean	0.9930022
thetaI_last_obs_p_mean	5.631569e-05
thetaR_last_obs_p_mean	0.006941455
thetaS_last_obs_p_ci_low	0.9926753
thetaS_last_obs_p_ci_med	0.993003
thetaS_last_obs_p_ci_up	0.993326
thetaI_last_obs_p_ci_low	3.019485e-05
thetaI_last_obs_p_ci_med	5.538345e-05
thetaI_last_obs_p_ci_up	8.749891e-05
thetaR_last_obs_p_ci_low	0.006618786
thetaR_last_obs_p_ci_med	0.006940887
thetaR_last_obs_p_ci_up	0.007266371
R0_p_mean	1.706048
R0_p_ci_low	0.723361
R0_p_ci_med	1.558439
R0_p_ci_up	3.527059
gamma_p_mean	0.05141431
gamma_p_ci_low	0.007030237
gamma_p_ci_med	0.03709885
gamma_p_ci_up	0.1820516
beta_p_mean	0.0772791
beta_p_ci_low	0.01011972
beta_p_ci_med	0.06202419
beta_p_ci_up	0.2316232
incidence_mean	0.01436916
incidence_ci_low	3.363886e-05
incidence_ci_median	0.0002773299
incidence_ci_up	0.1605302
thetaI_tp1_mean	0.003566113
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.03747723
thetaR_tp1_mean	0.01353648
thetaR_tp1_ci_low	0.003271729
thetaR_tp1_ci_med	0.007400315
thetaR_tp1_ci_up	0.05965485
Y_tp1_mean	0.00356661
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.03741919
R_tp1_mean	0.01353658
R_tp1_ci_low	0.003256115
R_tp1_ci_med	0.0074006
R_tp1_ci_up	0.0596306
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01652228
thetaR_max_ci_low	0.00311256
thetaR_max_ci_med	0.007450478
thetaR_max_ci_up	0.09880669
cumInf_mean	0.02104733
cumInf_ci_low	0.003125697
cumInf_ci_med	0.00753138
cumInf_ci_up	0.1655837
dthetaI_tp1_date	08/14/21
first_tp_mean	03/29/21
first_tp_ci_low	02/11/21
first_tp_ci_med	03/10/21
first_tp_ci_up	08/29/21
dthetaI_tp2_date	08/14/21
second_tp_mean	04/01/21
second_tp_ci_low	02/13/21
second_tp_ci_med	03/12/21
second_tp_ci_up	08/29/21
end_p_mean	05/31/21
end_p_ci_low	04/03/21
end_p_ci_med	05/04/21
end_p_ci_up	08/29/21
begin_str	02/11/2021
